5237,(/Stage[main]/Network/Service[network]/enable) enable changed 'false' to 'true'
5238,Applied catalog in 5.42 seconds
5360,(/Stage[main]/Network/Service[network]/enable) enable changed 'false' to 'true'
5361,Applied catalog in 5.45 seconds
5495,(/Stage[main]/Network/Service[network]/enable) enable changed 'false' to 'true'
5496,Applied catalog in 5.41 seconds
5621,(/Stage[main]/Network/Service[network]/enable) enable changed 'false' to 'true'
5622,Applied catalog in 5.35 seconds
5749,(/Stage[main]/Network/Service[network]/enable) enable changed 'false' to 'true'
5750,Applied catalog in 5.26 seconds
5874,(/Stage[main]/Network/Service[network]/enable) enable changed 'false' to 'true'
5875,Applied catalog in 5.59 seconds
